freq,s11_real,s11_imag,s21_real,s21_imag,s22_real,s22_imag
14.85117057,0.21639369,0.976306,0.00059511559,-0.00013190461,0.21639369,0.976306
14.86287625,0.23149977,0.97283473,0.00065013995,-0.00015470999,0.23149977,0.97283473
14.87458194,0.24692466,0.9690344,0.00071078184,-0.00018111799,0.24692466,0.9690344
14.88628763,0.26267668,0.96488357,0.00077766464,-0.00021170883,0.26267668,0.96488357
14.89799331,0.27876426,0.96035915,0.00085148528,-0.00024716135,0.27876426,0.96035915
14.909699,0.29519587,0.95543626,0.00093302308,-0.000288271,0.29519587,0.95543626
14.92140468,0.31198,0.95008806,0.0010231497,-0.00033597122,0.31198,0.95008806
14.93311037,0.32912509,0.94428558,0.00112284,-0.00039135916,0.32912509,0.94428558
14.94481605,0.3466395,0.93799751,0.0012331842,-0.00045572653,0.3466395,0.93799751
14.95652174,0.36453143,0.93118995,0.001355401,-0.00053059667,0.36453143,0.93118995
14.96822742,0.38280881,0.92382618,0.0014908524,-0.00061776929,0.38280881,0.92382618
14.97993311,0.40147922,0.91586638,0.0016410586,-0.00071937454,0.40147922,0.91586638
14.9916388,0.42054977,0.90726728,0.001807715,-0.00083793845,0.42054977,0.90726728
15.55351171,0.019059399,-0.036181841,0.88401351,0.46566913,0.019059399,-0.036181841
15.56521739,0.0077248216,-0.023537448,0.94984679,0.3117329,0.0077248216,-0.023537448
15.57692308,0.0011638351,-0.0074960745,0.98813246,0.15341674,0.0011638351,-0.0074960745
15.58862876,4.3971195e-05,0.0091755413,0.99994642,-0.0047919613,4.3971195e-05,0.0091755413
15.60033445,0.0038807151,0.024101102,0.98698911,-0.15892317,0.0038807151,0.024101102
15.61204013,0.011426387,0.035570009,0.95141713,-0.30562995,0.011426387,0.035570009
15.62374582,0.021049547,0.042634252,0.89565276,-0.44220512,0.021049547,0.042634252
15.63545151,0.031055556,0.045072226,0.82222364,-0.56652655,0.031055556,0.045072226
15.64715719,0.03992546,0.043268919,0.73365627,-0.67696546,0.03992546,0.043268919
15.65886288,0.046471124,0.038054904,0.63242368,-0.77229045,0.046471124,0.038054904
15.67056856,0.04991638,0.030534796,0.52093336,-0.85158935,0.04991638,0.030534796
15.68227425,0.049918149,0.021924697,0.40153667,-0.91421868,0.049918149,0.021924697
15.69397993,0.046541365,0.01341003,0.27654286,-0.95978025,0.046541365,0.01341003
15.70568562,0.040199889,0.0060302861,0.14822512,-0.98811787,0.040199889,0.0060302861
15.7173913,0.03157413,0.00059439745,0.018812735,-0.99932417,0.03157413,0.00059439745
15.72909699,0.021515337,-0.0023714355,-0.10953156,-0.99374761,0.021515337,-0.0023714355
15.74080268,0.010946085,-0.0026435822,-0.23474511,-0.97199173,0.010946085,-0.0026435822
15.75250836,0.00076593943,-0.00029076275,-0.35490379,-0.93490247,0.00076593943,-0.00029076275
15.76421405,-0.0082299523,0.0043616975,-0.46825847,-0.88354244,-0.0082299523,0.0043616975
15.77591973,-0.01541352,0.010786745,-0.57326386,-0.81915482,-0.01541352,0.010786745
15.78762542,-0.02036441,0.018322137,-0.66859609,-0.74312103,-0.02036441,0.018322137
15.7993311,-0.02288793,0.026241085,-0.753158,-0.65691748,-0.02288793,0.026241085
15.81103679,-0.02301196,0.033820284,-0.8260734,-0.56207595,-0.02301196,0.033820284
15.82274247,-0.02096615,0.040400048,-0.88667317,-0.460151,-0.02096615,0.040400048
15.83444816,-0.017147597,0.04543301,-0.93447708,-0.3526959,-0.017147597,0.04543301
15.84615385,-0.012077467,0.048519447,-0.96917482,-0.24124711,-0.012077467,0.048519447
15.85785953,-0.0063526975,0.049428623,-0.99060949,-0.12731576,-0.0063526975,0.049428623
15.86956522,-0.00059647134,0.048106519,-0.99876526,-0.012383662,-0.00059647134,0.048106519
15.8812709,0.0045894773,0.044670919,-0.99376019,0.10209863,0.0045894773,0.044670919
15.89297659,0.0086681189,0.039395223,-0.9758435,0.21471455,0.0086681189,0.039395223
15.90468227,0.011203794,0.032682686,-0.94539627,0.32408674,0.011203794,0.032682686
15.91638796,0.01189049,0.025033024,-0.90293331,0.42888624,0.01189049,0.025033024
15.92809365,0.010570328,0.017003666,-0.8491043,0.52784565,0.010570328,0.017003666
15.93979933,0.0072413341,0.0091681825,-0.78469201,0.61977573,0.0072413341,0.0091681825
