freq,s11_real,s11_imag,s21_real,s21_imag,s22_real,s22_imag,a,b,a2_1,a2_2,a2_3,a2_4,a2_5,a2_6,a2_7,a2_8,a2_9,a2_10,a2_11,a2_12,a2_13,a2_14,a2_15,l_1,l_2,l_3,l_4,l_5,l_6,l_7,l_8,l_9,l_10,l_11,l_12,l_13,l_14,l_15,order
14.85117057,0.23837354,0.97117334,0.0006160761,-0.00015121527,0.23837354,0.97117334,15.799,7.899,8.01280937149397,5.44661925636018,4.866201963253291,4.735273471940218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.992279924979048,10.247569954956884,10.512998230123946,10.558930348872014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
14.86287625,0.25363312,0.96730024,0.00067273972,-0.00017639722,0.25363312,0.96730024,15.799,7.899,8.01280937149397,5.44661925636018,4.866201963253291,4.735273471940218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.992279924979048,10.247569954956884,10.512998230123946,10.558930348872014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
14.87458194,0.26920472,0.96308267,0.00073514498,-0.00020549067,0.26920472,0.96308267,15.799,7.899,8.01280937149397,5.44661925636018,4.866201963253291,4.735273471940218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.992279924979048,10.247569954956884,10.512998230123946,10.558930348872014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
14.88628763,0.28509577,0.95849867,0.00080392229,-0.00023911858,0.28509577,0.95849867,15.799,7.899,8.01280937149397,5.44661925636018,4.866201963253291,4.735273471940218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.992279924979048,10.247569954956884,10.512998230123946,10.558930348872014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
14.89799331,0.30131366,0.95352463,0.00087977523,-0.00027800886,0.30131366,0.95352463,15.799,7.899,8.01280937149397,5.44661925636018,4.866201963253291,4.735273471940218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.992279924979048,10.247569954956884,10.512998230123946,10.558930348872014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
14.909699,0.31786577,0.94813518,0.00096348925,-0.00032301328,0.31786577,0.94813518,15.799,7.899,8.01280937149397,5.44661925636018,4.866201963253291,4.735273471940218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.992279924979048,10.247569954956884,10.512998230123946,10.558930348872014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
14.92140468,0.33475935,0.94230299,0.0010559411,-0.00037513004,0.33475935,0.94230299,15.799,7.899,8.01280937149397,5.44661925636018,4.866201963253291,4.735273471940218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.992279924979048,10.247569954956884,10.512998230123946,10.558930348872014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
14.93311037,0.35200152,0.93599861,0.0011581095,-0.00043553088,0.35200152,0.93599861,15.799,7.899,8.01280937149397,5.44661925636018,4.866201963253291,4.735273471940218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.992279924979048,10.247569954956884,10.512998230123946,10.558930348872014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
14.94481605,0.36959918,0.92919028,0.0012710863,-0.00050559338,0.36959918,0.92919028,15.799,7.899,8.01280937149397,5.44661925636018,4.866201963253291,4.735273471940218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.992279924979048,10.247569954956884,10.512998230123946,10.558930348872014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
14.95652174,0.38755889,0.9218437,0.0013960896,-0.00058693998,0.38755889,0.9218437,15.799,7.899,8.01280937149397,5.44661925636018,4.866201963253291,4.735273471940218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.992279924979048,10.247569954956884,10.512998230123946,10.558930348872014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
